Layer,Step 3 point,NEVTs,Hits
U,310,20000,LEF-5-2,LEF-5-3
U,311,20000,LEF-5-3,LEF-5-4
U,312,20000,LEF-5-4,LEF-5-5
U,313,20000,LEF-5-5,LEF-5-6
U,314,20000,LEF-5-6,LEF-5-7
U,315,20000,LEF-5-7,LEF-5-8
U,316,20000,LEF-5-8,LEF-5-9
U,317,20000,LEF-5-6,LEF-5-7
U,318,20000,LEF-5-5,LEF-5-6
U,319,20000,LEF-5-4,LEF-5-5
U,320,20000,LEF-5-3,LEF-5-4
U,321,20000,LEF-5-2,LEF-5-3
U,322,20000,LEF-5-1,LEF-5-2
U,323,20000,LEF-5-1,LEF-7-1
U,324,20000,LEF-7-1,LEF-7-2
U,325,20000,LEF-7-2,LEF-7-3
U,326,20000,LEF-7-3,LEF-7-4
U,327,20000,LEF-7-4,LEF-7-5
U,328,20000,LEF-7-5,LEF-7-6
U,329,20000,LEF-7-6,LEF-7-7
U,330,20000,LEF-7-6,LEF-7-7
U,331,20000,LEF-7-5,LEF-7-6
U,332,20000,LEF-7-4,LEF-7-5
U,333,20000,LEF-7-3,LEF-7-4
U,334,20000,LEF-7-2,LEF-7-3
U,335,20000,LEF-7-1,LEF-7-2
U,336,20000,LEF-5-1,LEF-7-1
U,337,20000,LEF-5-1,LEF-5-2
U,338,20000,LEF-5-2,LEF-5-3
U,339,20000,LEF-5-3,LEF-5-4
U,340,20000,LEF-5-4,LEF-5-5
U,341,20000,LEF-5-5,LEF-5-6
U,342,20000,LEF-5-6,LEF-5-7
U,343,20000,LEF-5-4,LEF-5-5
U,344,20000,LEF-5-3,LEF-5-4
U,345,20000,LEF-5-2,LEF-5-3
U,346,20000,LEF-5-1,LEF-5-2
U,347,20000,LEF-5-1,LEF-7-1
U,348,20000,LEF-7-1,LEF-7-2
U,349,20000,LEF-7-2,LEF-7-3
U,350,20000,LEF-7-3,LEF-7-4
U,351,20000,LEF-7-4,LEF-7-5
U,352,20000,LEF-7-4,LEF-7-5
U,353,20000,LEF-7-3,LEF-7-4
U,354,20000,LEF-7-2,LEF-7-3
U,355,20000,LEF-7-1,LEF-7-2
U,356,20000,LEF-5-1,LEF-7-1
U,357,20000,LEF-5-1,LEF-5-2
U,358,20000,LEF-5-2,LEF-5-3
U,359,20000,LEF-5-3,LEF-5-4
U,360,20000,LEF-5-4,LEF-5-5
