Layer,TB point,Hits
Y,261,{'LEF-8-1', 'LEF-8-2'}
Y,262,{'LEF-8-3', 'LEF-8-2'}
Y,263,{'LEF-8-3', 'LEF-8-4'}
Y,264,{'LEF-8-5', 'LEF-8-4'}
Y,265,{'LEF-8-5', 'LEF-8-4'}
Y,266,{'LEF-8-5', 'LEF-8-6'}
Y,267,{'LEF-8-7', 'LEF-8-6'}
Y,268,{'LEF-8-7', 'LEF-8-8'}
Y,269,{'LEF-8-8', 'LEF-8-9'}
Y,270,{'LEF-8-8', 'LEF-8-9'}
Y,271,{'LEF-8-8', 'LEF-8-9'}
Y,272,{'LEF-8-7', 'LEF-8-8'}
Y,273,{'LEF-8-7', 'LEF-8-6'}
Y,274,{'LEF-8-5', 'LEF-8-6'}
Y,275,{'LEF-8-5', 'LEF-8-4'}
Y,276,{'LEF-8-3', 'LEF-8-4'}
Y,277,{'LEF-8-3', 'LEF-8-2'}
Y,278,{'LEF-8-1', 'LEF-8-2'}
Y,279,{'LEF-8-1', 'LEF-6-1'}
Y,280,{'LEF-8-1', 'LEF-6-1'}
Y,281,{'LEF-6-2', 'LEF-6-1'}
Y,282,{'LEF-6-3', 'LEF-6-2'}
Y,283,{'LEF-6-3', 'LEF-6-4'}
Y,284,{'LEF-6-5', 'LEF-6-4'}
Y,285,{'LEF-6-5', 'LEF-6-6'}
Y,286,{'LEF-6-6', 'LEF-6-7'}
Y,287,{'LEF-6-7', 'LEF-6-8'}
Y,288,{'LEF-6-9', 'LEF-6-8'}
Y,289,{'LEF-6-9', 'LEF-6-8'}
Y,290,{'LEF-6-7', 'LEF-6-8'}
Y,291,{'LEF-6-6', 'LEF-6-7'}
Y,292,{'LEF-6-5', 'LEF-6-6'}
Y,293,{'LEF-6-5', 'LEF-6-4'}
Y,294,{'LEF-6-3', 'LEF-6-4'}
Y,295,{'LEF-6-3', 'LEF-6-2'}
Y,296,{'LEF-6-2', 'LEF-6-1'}
Y,297,{'LEF-8-1', 'LEF-6-1'}
Y,298,{'LEF-8-1', 'LEF-8-2'}
Y,299,{'LEF-8-3', 'LEF-8-2'}
Y,300,{'LEF-8-3', 'LEF-8-4'}
Y,301,{'LEF-8-5', 'LEF-8-4'}
Y,302,{'LEF-8-5', 'LEF-8-6'}
Y,303,{'LEF-8-7', 'LEF-8-6'}
Y,304,{'LEF-8-7', 'LEF-8-8'}
Y,305,{'LEF-8-8', 'LEF-8-9'}
Y,306,{'LEF-8-8', 'LEF-8-9'}
Y,307,{'LEF-8-7', 'LEF-8-8'}
Y,308,{'LEF-8-7', 'LEF-8-6'}
Y,309,{'LEF-8-5', 'LEF-8-6'}
Y,310,{'LEF-8-5', 'LEF-8-4'}
Y,311,{'LEF-8-3', 'LEF-8-4'}
Y,312,{'LEF-8-3', 'LEF-8-2'}
Y,313,{'LEF-8-1', 'LEF-8-2'}
Y,314,{'LEF-8-1', 'LEF-6-1'}
Y,315,{'LEF-6-2', 'LEF-6-1'}
Y,316,{'LEF-6-3', 'LEF-6-2'}
Y,317,{'LEF-6-3', 'LEF-6-4'}
Y,318,{'LEF-6-5', 'LEF-6-4'}
Y,319,{'LEF-6-5', 'LEF-6-6'}
Y,320,{'LEF-6-6', 'LEF-6-7'}
Y,321,{'LEF-6-7', 'LEF-6-8'}
Y,322,{'LEF-6-9', 'LEF-6-8'}
Y,323,{'LEF-6-9', 'LEF-6-8'}
Y,324,{'LEF-6-7', 'LEF-6-8'}
Y,325,{'LEF-6-6', 'LEF-6-7'}
Y,326,{'LEF-6-5', 'LEF-6-6'}
Y,327,{'LEF-6-5', 'LEF-6-4'}
